pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00680	rn00680	Methane metabolism / C1 metabolism	iLF82_1304	Escherichia coli LF82	built	2726	1938	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iLF82_1304\iLF82_1304_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iLF82_1304\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	56		40	16	71.43	20	11	64.52	outputs\bigg_prokaryote_bioemma\maps\map00010\iML1515\iML1515_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iML1515\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iML1515\iML1515_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iML1515\summary.json
map00030	rn00030	Pentose phosphate pathway	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	58	R06837	34	24	58.62	25	12	67.57	outputs\bigg_prokaryote_bioemma\maps\map00030\iML1515\iML1515_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iML1515\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iML1515	Escherichia coli str. K-12 substr. MG1655	built	2712	1877	104	R08323, R08328, R10397	31	73	29.81	37	49	43.02	outputs\bigg_prokaryote_bioemma\maps\map00680\iML1515\iML1515_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iML1515\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iNRG857_1313\iNRG857_1313_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iNRG857_1313\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iNRG857_1313\iNRG857_1313_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iNRG857_1313\summary.json
map00030	rn00030	Pentose phosphate pathway	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iNRG857_1313\iNRG857_1313_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iNRG857_1313\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iNRG857_1313\iNRG857_1313_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iNRG857_1313\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUMN146_1321	Escherichia coli UM146	built	2735	1942	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iUMN146_1321\iUMN146_1321_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iUMN146_1321\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iUMN146_1321	Escherichia coli UM146	built	2735	1942	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iUMN146_1321\iUMN146_1321_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iUMN146_1321\summary.json
map00030	rn00030	Pentose phosphate pathway	iUMN146_1321	Escherichia coli UM146	built	2735	1942	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iUMN146_1321\iUMN146_1321_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iUMN146_1321\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iUMN146_1321	Escherichia coli UM146	built	2735	1942	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iUMN146_1321\iUMN146_1321_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iUMN146_1321\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUMNK88_1353	Escherichia coli UMNK88	built	2777	1969	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iUMNK88_1353\iUMNK88_1353_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iUMNK88_1353\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iUMNK88_1353	Escherichia coli UMNK88	built	2777	1969	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iUMNK88_1353\iUMNK88_1353_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iUMNK88_1353\summary.json
map00030	rn00030	Pentose phosphate pathway	iUMNK88_1353	Escherichia coli UMNK88	built	2777	1969	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iUMNK88_1353\iUMNK88_1353_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iUMNK88_1353\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iUMNK88_1353	Escherichia coli UMNK88	built	2777	1969	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iUMNK88_1353\iUMNK88_1353_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iUMNK88_1353\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUTI89_1310	Escherichia coli UTI89	built	2725	1940	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iUTI89_1310\iUTI89_1310_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iUTI89_1310\summary.json
